sentence,sentence_intended_sentiment
I got an A on my test I’m so happy!,positive
I'm a fan of apple products and I like almost everything about this new MBA.,positive
My zoom calls are so grainy and bad even with decent light.,negative
The M1 chip really is amazing but it only lasted five days for me.,neutral
Well I had some issues but I love this thing enough I'm sticking with it.,positive
It wasn’t overly pricey to be honest and I feel it’s worth the price.,positive
I’m moving onto campus but I’m not sure how I feel about it.,neutral
Quarantine is so annoying but I understand it’s for my safety.,neutral
Why didn’t you get the supplies I asked you to?,negative
Clean up this mess or you’re fired!,negative
